Cidades,,,
1,ANGICOS,25,Ceará-Mirim
2,São Rafael,26,Canguaretama
3,Itajá,27,Baraúna
4,Assú,28,Apodi
5,Jucurutu,29,Acari
6,Mossoró,30,Areia Branca
7,Natal,31,Extremoz
8,Afonso Bezerra,32,Goianinha
9,Pedro Avelino,33,Monte Alegre
10,Fernando Pedrosa,34,Nísia Floresta
11,Santana do Matos,35,Nova Cruz
12,Lajes,36,Touros
13,Santa Cruz,37,Tangará
14,Caicó,38,São Paulo do Potengi
15,São Miguel,39,Santo Antônio
16,São José do Mipibú,40,Taipu
17,São Gonçalo do Amarante,41,Upanema
18,Pau dos Ferros,42,Pedro Velho
19,Parnamirim,43,Parelhas
20,Macaíba,44,Caraúbas
21,Macau,45,Alexandria
22,João Câmara,46,Jardim de Piranhas
23,Ipanguaçu,47,São José do Campestre
24,Currais Novos,48,Poço Branco
